                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6231,                 2.7555,                 1.5045,                0.70606,                0.65119,                0.66938,                 0.4347,                 1.1849,                  1.468,                 1.3508,             0.00014236,             0.00014236,             0.00014236
                      2,                 1.2771,                 1.2999,                 1.2436,                0.91772,                0.75255,                0.89989,                0.63126,                 1.0374,                0.80444,                  1.193,             0.00028452,             0.00028452,             0.00028452
                      3,                 1.2144,                 1.0784,                 1.2142,                0.93401,                0.83593,                0.91078,                0.66944,                 1.0108,                0.66119,                  1.196,              0.0004238,              0.0004238,              0.0004238
                      4,                  1.173,                0.98128,                 1.1818,                0.84465,                0.88541,                0.90655,                 0.6563,                0.96954,                0.57823,                 1.1351,             0.00042208,             0.00042208,             0.00042208
                      5,                 1.1377,                0.90441,                 1.1687,                 0.8891,                0.81476,                0.91332,                0.67549,                0.93203,                0.55961,                  1.131,             0.00042208,             0.00042208,             0.00042208
                      6,                 1.1096,                0.87256,                 1.1542,                0.92672,                 0.9015,                0.91575,                0.64697,                0.98718,                 0.5163,                 1.1562,             0.00041777,             0.00041777,             0.00041777
                      7,                 1.1174,                 0.8461,                 1.1626,                0.85989,                 0.8411,                0.90761,                0.64041,                 1.0289,                0.69769,                 1.1766,             0.00041347,             0.00041347,             0.00041347
                      8,                 1.0996,                0.79577,                 1.1556,                0.91927,                0.90146,                0.90955,                0.66443,                0.94928,                0.50021,                 1.1299,             0.00040916,             0.00040916,             0.00040916
                      9,                 1.0593,                0.75888,                 1.1336,                0.86845,                0.78451,                 0.8749,                0.64489,                 1.0205,                0.73498,                 1.1744,             0.00040485,             0.00040485,             0.00040485
                     10,                 1.0635,                0.74441,                  1.127,                0.94578,                0.89609,                0.93673,                0.71071,                0.89855,                0.43781,                 1.1069,             0.00040055,             0.00040055,             0.00040055
                     11,                  1.004,                0.68866,                 1.1052,                0.94423,                0.89663,                0.93918,                0.71956,                0.89836,                0.43559,                  1.113,             0.00039624,             0.00039624,             0.00039624
                     12,                 1.0115,                0.69393,                  1.115,                0.96326,                0.91946,                0.99086,                0.73278,                 0.9491,                0.39385,                 1.1485,             0.00039193,             0.00039193,             0.00039193
                     13,                0.98529,                0.65636,                 1.0987,                0.93923,                 0.8777,                0.97276,                0.74736,                0.90197,                0.46767,                 1.1239,             0.00038763,             0.00038763,             0.00038763
                     14,                0.98631,                0.65309,                 1.0889,                0.93671,                0.87009,                0.93962,                0.70198,                0.95012,                0.50341,                 1.1223,             0.00038332,             0.00038332,             0.00038332
                     15,                  0.973,                0.63044,                 1.0895,                0.89959,                0.89339,                0.97656,                 0.7233,                0.94359,                0.45934,                 1.1415,             0.00037902,             0.00037902,             0.00037902
                     16,                0.94219,                0.59834,                 1.0656,                0.95252,                0.89409,                0.98542,                0.74767,                0.89618,                0.40971,                 1.1057,             0.00037471,             0.00037471,             0.00037471
                     17,                0.95818,                0.59499,                   1.08,                0.95694,                0.89914,                0.98875,                0.76254,                0.86333,                0.37969,                 1.0853,              0.0003704,              0.0003704,              0.0003704
                     18,                0.92774,                0.59168,                 1.0649,                 0.9227,                0.87896,                0.97423,                0.75244,                 0.9257,                0.46506,                 1.1409,              0.0003661,              0.0003661,              0.0003661
                     19,                 0.9209,                0.57199,                 1.0655,                0.98333,                0.89649,                0.99181,                0.76072,                0.87948,                0.41536,                 1.1313,             0.00036179,             0.00036179,             0.00036179
                     20,                 0.8971,                0.54625,                 1.0548,                0.95531,                0.88169,                0.98869,                0.75242,                0.87593,                0.40043,                 1.1112,             0.00035748,             0.00035748,             0.00035748
                     21,                0.90048,                0.54925,                 1.0584,                0.85929,                0.99475,                0.99252,                0.76413,                0.88851,                0.38486,                 1.0949,             0.00035318,             0.00035318,             0.00035318
                     22,                0.88753,                0.53405,                 1.0493,                0.95236,                0.88464,                0.98453,                0.75956,                0.87873,                0.37079,                 1.1381,             0.00034887,             0.00034887,             0.00034887
                     23,                 0.8874,                 0.5345,                 1.0452,                0.90579,                0.98953,                0.99303,                0.77728,                0.84278,                0.34604,                 1.0794,             0.00034456,             0.00034456,             0.00034456
                     24,                0.85382,                0.50555,                 1.0309,                0.85646,                0.99036,                0.99245,                0.75776,                0.86725,                 0.4003,                 1.1089,             0.00034026,             0.00034026,             0.00034026
