                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4614,                 1.7287,                 1.3739,                0.59909,                0.56993,                0.58628,                0.31508,                 1.4603,                 2.3857,                 1.4554,             0.00055052,             0.00055052,             0.00055052
                      2,                 1.4188,                 1.3138,                 1.3683,                0.80596,                0.34676,                0.46034,                0.26838,                 1.4883,                 2.4933,                 1.5125,              0.0010952,              0.0010952,              0.0010952
                      3,                 1.4076,                 1.2603,                   1.37,                0.60781,                0.53483,                0.56222,                0.32654,                 1.3959,                 1.7001,                 1.4134,               0.001629,               0.001629,               0.001629
                      4,                 1.3406,                 1.1083,                 1.3215,                0.71722,                0.68641,                0.73293,                0.45757,                 1.3355,                  1.091,                 1.3748,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3202,                 1.0515,                 1.3117,                0.73057,                0.63286,                0.72142,                0.46066,                 1.2835,                 1.1494,                 1.3242,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2751,                0.98807,                 1.2842,                0.72583,                0.75732,                0.79344,                0.50496,                 1.2752,                 1.0167,                 1.2976,               0.001601,               0.001601,               0.001601
                      7,                 1.2357,                0.96136,                 1.2605,                0.82391,                0.70839,                0.81401,                0.54325,                 1.1621,                0.90337,                 1.2354,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1691,                0.90421,                  1.219,                  0.825,                0.76092,                0.85114,                0.57232,                 1.1179,                0.82465,                 1.2052,               0.001568,               0.001568,               0.001568
                      9,                 1.1682,                0.86501,                 1.2242,                0.79934,                0.77354,                0.85916,                0.55312,                 1.2397,                0.87076,                 1.2803,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1541,                0.84059,                 1.2129,                0.86123,                0.78859,                0.86535,                0.55287,                 1.2402,                0.82905,                 1.2994,               0.001535,               0.001535,               0.001535
                     11,                 1.1172,                0.78142,                 1.1897,                0.86041,                0.83172,                0.90761,                0.60459,                 1.1609,                 0.7177,                 1.2482,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1146,                0.76582,                 1.1775,                0.83561,                 0.8239,                0.89969,                0.60528,                 1.1135,                0.72824,                 1.2166,               0.001502,               0.001502,               0.001502
                     13,                 1.0809,                0.75271,                 1.1694,                0.82404,                0.85962,                0.90496,                0.63411,                 1.0796,                0.69464,                 1.1796,              0.0014855,              0.0014855,              0.0014855
                     14,                   1.06,                0.71827,                 1.1592,                0.86334,                0.85318,                0.91241,                0.63451,                 1.0644,                0.67326,                 1.1789,               0.001469,               0.001469,               0.001469
                     15,                 1.0212,                0.69914,                 1.1336,                0.83502,                0.86376,                 0.8962,                0.63703,                  1.068,                0.68837,                  1.172,              0.0014525,              0.0014525,              0.0014525
